matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,heavy_static_16_time,heavy_static_16_cycle,heavy_static_16_perms,heavy_static_16_planes,heavy_static_16_split,heavy_static_2_time,heavy_static_2_cycle,heavy_static_2_perms,heavy_static_2_planes,heavy_static_2_split,heavy_static_4_time,heavy_static_4_cycle,heavy_static_4_perms,heavy_static_4_planes,heavy_static_4_split,heavy_static_8_time,heavy_static_8_cycle,heavy_static_8_perms,heavy_static_8_planes,heavy_static_8_split
247,7643,8211.0,1.301664200000232,heavy_static,0.298674700083211,8835.0,1760,3,,0.0217704999959096,11109.0,636,9,,0.0715109000448137,9895.0,887,5,,0.1310561998980119,9763.0,1344,3,
248,7469,8030.0,1.2480240000004414,heavy_static,0.2669427000219002,8654.0,1777,3,,0.0160345999756827,11022.0,641,9,,0.059092600014992,9770.0,886,5,,0.1319073000922799,9446.0,1320,3,
249,7886,8496.0,1.1348996000015177,heavy_static,0.2719609999330714,9488.0,1880,3,,0.0192035000072792,11730.0,672,9,,0.068314200034365,10768.0,935,5,,0.1642846999457106,10136.0,1375,3,
250,7756,8356.0,1.4514781000034418,heavy_static,0.3274717000313103,9268.0,1833,3,,0.0168783999979496,11828.0,665,9,,0.064212099998258,10576.0,919,5,,0.1633011000230908,10020.0,1370,3,
251,7446,8022.0,1.2751932999817654,heavy_static,0.2720919999992475,8694.0,1819,3,,0.0218880999600514,10756.0,650,9,,0.0666316000279039,9898.0,919,5,,0.1487704999744892,9446.0,1347,3,
252,7563,8107.0,1.1539449999982023,heavy_static,0.2630022000521421,8731.0,1785,3,,0.020218800054863,11265.0,670,9,,0.0613527001114562,10083.0,926,5,,0.1440620999783277,9795.0,1368,3,
253,7757,8327.0,1.0401447000040207,heavy_static,0.3180545999202877,9031.0,1863,3,,0.0180882000131532,11593.0,672,9,,0.0645836000330746,10471.0,940,5,,0.1484831999987363,10167.0,1381,3,
254,7073,7533.0,1.0862493999884464,heavy_static,0.2832284999312833,8093.0,1663,3,,0.017579499981366,10245.0,619,9,,0.0598891000263392,9361.0,852,5,,0.1284419000148773,9005.0,1259,3,
255,7441,7999.0,0.99864120001439,heavy_static,0.249280699994415,8719.0,1791,3,,0.0182438999181613,11477.0,658,9,,0.0613858000142499,10107.0,914,5,,0.1409927000058815,9823.0,1382,3,
256,7997,8642.0,1.2198874000168871,heavy_static,0.2513739999849349,9314.0,1822,3,,0.0218930999981239,11834.0,659,9,,0.0974275000626221,10626.0,920,5,,0.1423519001109525,10250.0,1378,3,
257,7487,8002.0,1.00934629997937,heavy_static,0.2700107999844476,8594.0,1725,3,,0.0171033999649807,10976.0,634,9,,0.0569583000615239,9802.0,885,5,,0.1416982999071478,9530.0,1309,3,
258,7411,7927.0,1.28294159998768,heavy_static,0.3360786000266671,8535.0,1732,3,,0.0154744000174105,11091.0,642,9,,0.0593454999616369,9743.0,890,5,,0.1432465000543743,9439.0,1349,3,
259,7562,8100.0,1.0163365999760572,heavy_static,0.2785222999518737,8740.0,1841,3,,0.0164994000224396,11128.0,665,9,,0.0588737999787554,10196.0,940,5,,0.1240670999977737,9828.0,1381,3,
260,7623,8245.0,1.5286821000045163,heavy_static,0.303876299993135,8885.0,1792,3,,0.0264854999259114,11383.0,656,9,,0.0666428999975323,10281.0,913,5,,0.1598239000886678,9957.0,1368,3,
261,7754,8360.0,1.253715500002727,heavy_static,0.3191594999516383,9000.0,1829,3,,0.0223323999671265,11700.0,670,9,,0.0782009999966248,10336.0,922,5,,0.1469456000486388,9960.0,1363,3,
262,7703,8297.0,1.261991900013527,heavy_static,0.2782968000974506,9145.0,1809,3,,0.0155680000316351,11795.0,656,9,,0.0581269999966025,10457.0,910,5,,0.1403318999800831,9849.0,1335,3,
263,8136,8790.0,1.4799315000127535,heavy_static,0.3170556999975815,9446.0,1811,3,,0.0190820000134408,12006.0,670,9,,0.0653045999351888,10774.0,940,5,,0.1402099999831989,10326.0,1363,3,
264,7581,8137.0,1.4154280000075232,heavy_static,0.2704022999387234,8763.0,1742,3,,0.0214210000121966,11081.0,644,9,,0.0602757999440655,9973.0,898,5,,0.1471724000293761,9601.0,1354,3,
265,7592,8152.0,1.3789167999930214,heavy_static,0.2528057000599801,8792.0,1774,3,,0.0179264999460428,11086.0,638,9,,0.060346300015226,9932.0,892,5,,0.1281715000513941,9616.0,1320,3,
266,7559,8108.0,1.0085104999889154,heavy_static,0.2493285000091418,8716.0,1811,3,,0.0164328999817371,10972.0,644,9,,0.0609545999905094,10136.0,911,5,,0.1277694000164047,9804.0,1327,3,
267,8072,8762.0,1.260106600006111,heavy_static,0.3291736000683158,9402.0,1813,3,,0.0209416000870987,11928.0,663,9,,0.0696392999961972,10782.0,936,5,,0.1621698000235483,10410.0,1380,3,
268,7259,7759.0,1.1600542000087444,heavy_static,0.2749622999690473,8383.0,1748,3,,0.0215864999918267,10731.0,639,9,,0.0637962999753654,9595.0,895,5,,0.1455279000801965,9207.0,1331,3,
269,7670,8268.0,1.1744209000025876,heavy_static,0.2596475000027567,8876.0,1819,3,,0.0178091999841853,11480.0,656,9,,0.0662622000090777,10232.0,908,5,,0.1419419000158086,9908.0,1365,3,
270,7653,8200.0,1.305369299981976,heavy_static,0.2945040999911725,8840.0,1784,3,,0.0164915999630466,10886.0,648,9,,0.0758102000690996,9932.0,896,5,,0.1308890000218525,9600.0,1337,3,
271,7835,8461.0,1.2085060000244994,heavy_static,0.2553142999531701,9165.0,1824,3,,0.018622100003995,11519.0,661,9,,0.0531992999603971,10481.0,925,5,,0.1303045999957248,10125.0,1345,3,
272,8070,8707.0,1.1708037999924272,heavy_static,0.3522978000110015,9667.0,1894,3,,0.0162802000995725,12301.0,669,9,,0.0765524000162258,11031.0,953,5,,0.1474943999201059,10435.0,1396,3,
273,7789,8376.0,1.3738409999932628,heavy_static,0.2956181999761611,9384.0,1842,3,,0.0189761000219732,12450.0,683,9,,0.0665176000911742,10792.0,947,5,,0.1366558999288827,10128.0,1401,3,
274,7874,8485.0,1.289870799984783,heavy_static,0.2571960999630391,9189.0,1837,3,,0.0188920999644324,11851.0,661,9,,0.0589352999813854,10581.0,932,5,,0.1390369000146165,10221.0,1356,3,
275,7942,8571.0,1.235400200006552,heavy_static,0.2767430000239983,9275.0,1847,3,,0.0183491000207141,11511.0,672,9,,0.0657729000085964,10511.0,928,5,,0.1357982000336051,10171.0,1406,3,
276,7784,8358.0,1.3835926000028849,heavy_static,0.2881323000183329,9062.0,1809,3,,0.0151251000352203,11368.0,654,9,,0.0639714000280946,10142.0,905,5,,0.1313229000661522,9766.0,1355,3,
277,7630,8210.0,0.9964333999960218,heavy_static,0.267922000028193,8882.0,1823,3,,0.0192118999548256,11376.0,658,9,,0.0598352000815793,10210.0,921,5,,0.1267249000957235,9770.0,1350,3,
278,7819,8398.0,1.1965675999817904,heavy_static,0.281569299986586,9230.0,1800,3,,0.0212518000043928,12042.0,672,9,,0.0640263000968843,10518.0,908,5,,0.1488190999953076,9942.0,1358,3,
279,8174,8841.0,1.0683947000070475,heavy_static,0.2853115000762045,9737.0,1835,3,,0.0178385999752208,12337.0,691,9,,0.060719099943526,11177.0,962,5,,0.1337968000443652,10601.0,1416,3,
280,7405,7933.0,1.3004135999944992,heavy_static,0.2987151000415906,8573.0,1766,3,,0.0253796000033617,11081.0,652,9,,0.0754758999682962,9997.0,906,5,,0.1394401000579819,9733.0,1377,3,
281,8013,8651.0,1.1044184000056705,heavy_static,0.2930841000052169,9259.0,1784,3,,0.0199376000091433,11679.0,648,9,,0.0622201999649405,10655.0,901,5,,0.1460289999376982,10323.0,1348,3,
282,7260,7737.0,1.2256970999878831,heavy_static,0.3056465999688953,8345.0,1760,3,,0.0172235999489203,10737.0,656,9,,0.0673295999877154,9845.0,916,5,,0.1555047000292688,9489.0,1336,3,
