matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
25,477,7987.0,0.7095689999987371,maximum,0.316101999982493,7987.0,507,2,0.02031419999548234,0.15511580000747927,7987.0,561,4,0.027733900002203882,0.08627060000435449,7987.0,675,8,0.038874899997608736
26,475,8057.0,0.6763812999997754,maximum,0.32607839998672716,8057.0,504,2,0.017852699995273724,0.15093259999412112,8057.0,563,4,0.03170499997213483,0.07620549999410287,8057.0,668,8,0.03815620002569631
27,470,8140.0,0.6912473999836948,maximum,0.3203405999811366,8140.0,502,2,0.016072099999291822,0.142505900003016,8140.0,553,4,0.02866630000062287,0.08411409999825992,8140.0,664,8,0.0398620999767445
28,484,8521.0,0.7500215000181925,maximum,0.32389870000770316,8521.0,514,2,0.021806999982800335,0.15305960000841878,8521.0,569,4,0.03136379999341443,0.08842670000740327,8521.0,672,8,0.040701799996895716
29,490,8305.0,0.7258162000216544,maximum,0.32146730000386015,8305.0,515,2,0.017937500000698492,0.161877500009723,8305.0,570,4,0.03097000002162531,0.07642490000580437,8305.0,669,8,0.041188000002875924
30,480,8254.0,0.7348926000122447,maximum,0.3230966000119224,8254.0,516,2,0.01690049999160692,0.14624609999009408,8254.0,566,4,0.030785500013735145,0.0863723999937065,8254.0,675,8,0.04028300000936724
31,472,8309.0,0.7075071999861393,maximum,0.30307039999752305,8309.0,500,2,0.01716459999443032,0.157065400009742,8309.0,557,4,0.03027499999734573,0.08568560000276193,8309.0,670,8,0.04172330000437796
32,482,8541.0,0.7007035999849904,maximum,0.34480480002821423,8541.0,510,2,0.018359100009547547,0.16707870000391267,8541.0,572,4,0.03176109999185428,0.076845699979458,8541.0,681,8,0.04091640000115149
33,480,8641.0,0.7276966999925207,maximum,0.3288950999849476,8641.0,509,2,0.017771099985111505,0.14359169997624122,8641.0,566,4,0.03016840000054799,0.08839309998438694,8641.0,681,8,0.041610000014770776
34,468,7749.0,0.7079290999972727,maximum,0.32241480000084266,7749.0,506,2,0.01734680001391098,0.1589213999977801,7749.0,553,4,0.03076090000104159,0.07435420001274906,7749.0,668,8,0.039233599993167445
