matrix,engine,framework,ttfp_ms
12,WFA,Radix B4,1.4385999966179952
12,WFA,Radix B8,0.8641000022180378
12,WFA,Radix B16,0.8123000152409077
12,WFA,Euler d1,21.1688999843318
12,WFA,Euler d2,32.91140000510495
12,WFA,Euler d3,38.8863000262063
12,WFA,Euler d4,43.47319999942556
12,GW (dyn=stat),BvN,1.4698000013595447
12,GW (dyn=stat),Radix B2,2.7048999909311533
12,GW (dyn=stat),Radix B4,1.621800009161234
12,GW (dyn=stat),Radix B8,1.4271999971242622
12,GW (dyn=stat),Radix B16,1.120499990065582
12,GW (dyn=stat),Euler d1,22.243600004003383
12,GW (dyn=stat),Euler d2,33.922599992365576
12,GW (dyn=stat),Euler d3,39.31570000713691
12,GW (dyn=stat),Euler d4,45.858499986934476
13,Hungarian,BvN,1.2083000037819147
13,Hungarian,Radix B2,3.1347999902209267
13,Hungarian,Radix B4,1.6980000073090196
13,Hungarian,Radix B8,1.1989000049652532
13,Hungarian,Radix B16,1.0344000038458034
13,Hungarian,Euler d1,21.71139998245053
13,Hungarian,Euler d2,32.57350000785664
13,Hungarian,Euler d3,37.961600013659336
13,Hungarian,Euler d4,42.464399986783974
13,WFA,BvN,0.11160000576637685
13,WFA,Radix B2,2.789000005577691
13,WFA,Radix B4,1.4697999868076295
13,WFA,Radix B8,0.9280999947804958
13,WFA,Radix B16,0.8401999803027138
13,WFA,Euler d1,20.98630000546109
13,WFA,Euler d2,32.02309999323916
13,WFA,Euler d3,37.66979998908937
13,WFA,Euler d4,42.16470003302675
13,GW (dyn=stat),BvN,1.6193000046769157
13,GW (dyn=stat),Radix B2,3.122599999187514
13,GW (dyn=stat),Radix B4,1.729500014334917
13,GW (dyn=stat),Radix B8,1.1437000066507608
13,GW (dyn=stat),Radix B16,0.85120000585448
13,GW (dyn=stat),Euler d1,18.249100001412444
13,GW (dyn=stat),Euler d2,32.80939998512622
13,GW (dyn=stat),Euler d3,38.41229999670759
13,GW (dyn=stat),Euler d4,41.46119998767972
14,Hungarian,BvN,1.2109000090276822
14,Hungarian,Radix B2,2.674900009878911
14,Hungarian,Radix B4,1.5736000059405342
14,Hungarian,Radix B8,1.2098000006517395
14,Hungarian,Radix B16,1.044100004946813
14,Hungarian,Euler d1,19.349000009242445
14,Hungarian,Euler d2,31.715300006908365
14,Hungarian,Euler d3,36.10199998365715
14,Hungarian,Euler d4,39.672200015047565
14,WFA,BvN,0.1154000055976212
14,WFA,Radix B2,2.456100017298013
14,WFA,Radix B4,1.3487999967765063
14,WFA,Radix B8,0.8859000081429258
14,WFA,Radix B16,0.8437000069534406
14,WFA,Euler d1,19.000199987203814
14,WFA,Euler d2,32.396600014180876
14,WFA,Euler d3,36.36379998351913
14,WFA,Euler d4,39.00990002148319
14,GW (dyn=stat),BvN,1.6109999996842816
14,GW (dyn=stat),Radix B2,2.9273999971337616
14,GW (dyn=stat),Radix B4,1.7311000119661912
14,GW (dyn=stat),Radix B8,1.3935000024503097
14,GW (dyn=stat),Radix B16,1.1226000060560182
14,GW (dyn=stat),Euler d1,19.030600000405684
14,GW (dyn=stat),Euler d2,30.210900004021823
14,GW (dyn=stat),Euler d3,35.08140001213178
14,GW (dyn=stat),Euler d4,38.333699994836934
15,Hungarian,BvN,1.283499994315207
15,Hungarian,Radix B2,3.1355000101029873
15,Hungarian,Radix B4,1.712600002065301
15,Hungarian,Radix B8,1.2432999938027933
15,Hungarian,Radix B16,1.2661000073421746
15,Hungarian,Euler d1,21.27739999559708
15,Hungarian,Euler d2,31.714900003862567
15,Hungarian,Euler d3,36.87460000219289
15,Hungarian,Euler d4,39.20639997522812
15,WFA,BvN,0.09950000094249845
15,WFA,Radix B2,2.1275000035529956
15,WFA,Radix B4,1.110200013499707
15,WFA,Radix B8,0.702300007105805
15,WFA,Radix B16,0.6871000077808276
15,WFA,Euler d1,16.99709999957122
15,WFA,Euler d2,25.62870000838302
15,WFA,Euler d3,27.977399979135953
15,WFA,Euler d4,30.896199998096563
15,GW (dyn=stat),BvN,1.0096999903908
15,GW (dyn=stat),Radix B2,2.339300001040101
15,GW (dyn=stat),Radix B4,1.2813999928766862
15,GW (dyn=stat),Radix B8,1.206899993121624
15,GW (dyn=stat),Radix B16,0.8098000107565895
15,GW (dyn=stat),Euler d1,16.702900000382215
15,GW (dyn=stat),Euler d2,25.801500014495105
15,GW (dyn=stat),Euler d3,29.554600012488663
15,GW (dyn=stat),Euler d4,31.12799998780247
16,Hungarian,BvN,0.8054000063566491
16,Hungarian,Radix B2,2.2532999864779413
16,Hungarian,Radix B4,1.415199993061833
16,Hungarian,Radix B8,0.945399995543994
16,Hungarian,Radix B16,0.8126999891828746
16,Hungarian,Euler d1,18.549000000348315
16,Hungarian,Euler d2,27.387800000724383
16,Hungarian,Euler d3,31.355599989183247
16,Hungarian,Euler d4,32.63580001657829
16,WFA,BvN,0.09859999408945441
16,WFA,Radix B2,1.9669999892357737
16,WFA,Radix B4,1.3472999999066815
16,WFA,Radix B8,0.6836999964434654
16,WFA,Radix B16,0.6769000028725713
16,WFA,Euler d1,16.299099996103905
16,WFA,Euler d2,25.210699983290397
16,WFA,Euler d3,29.96099999290891
16,WFA,Euler d4,33.20629998052027
16,GW (dyn=stat),BvN,1.0409000096842647
16,GW (dyn=stat),Radix B2,2.2889999963808805
16,GW (dyn=stat),Radix B4,1.4629000070272014
16,GW (dyn=stat),Radix B8,1.1609000066528097
16,GW (dyn=stat),Radix B16,0.8281000045826659
16,GW (dyn=stat),Euler d1,17.791600010241382
16,GW (dyn=stat),Euler d2,27.01569997589104
16,GW (dyn=stat),Euler d3,33.26080001716036
16,GW (dyn=stat),Euler d4,35.12930001306813
17,Hungarian,BvN,1.0882000060519204
17,Hungarian,Radix B2,2.156899994588457
17,Hungarian,Radix B4,1.3070000131847337
17,Hungarian,Radix B8,1.0827000078279525
17,Hungarian,Radix B16,0.8036999788600951
17,Hungarian,Euler d1,17.054800016921945
17,Hungarian,Euler d2,26.618100018822588
17,Hungarian,Euler d3,30.73579998454079
17,Hungarian,Euler d4,33.817700008512475
17,WFA,BvN,0.11530000483617187
17,WFA,Radix B2,2.4852999922586605
17,WFA,Radix B4,1.3406000070972368
17,WFA,Radix B8,0.8731000125408173
17,WFA,Radix B16,0.8273999992525205
17,WFA,Euler d1,21.04820001113694
17,WFA,Euler d2,33.40899999602698
17,WFA,Euler d3,35.65740000340156
17,WFA,Euler d4,46.648400006233715
17,GW (dyn=stat),BvN,1.5541000029770657
17,GW (dyn=stat),Radix B2,2.9677999846171588
17,GW (dyn=stat),Radix B4,1.615400004084222
17,GW (dyn=stat),Radix B8,1.428999996278435
17,GW (dyn=stat),Radix B16,1.101399990147911
17,GW (dyn=stat),Euler d1,20.83489998767618
17,GW (dyn=stat),Euler d2,32.65530000498984
17,GW (dyn=stat),Euler d3,38.57640002388507
17,GW (dyn=stat),Euler d4,42.045700014568865
18,Hungarian,BvN,0.8541999995941296
18,Hungarian,Radix B2,2.677999989828095
18,Hungarian,Radix B4,1.319799994234927
18,Hungarian,Radix B8,0.9153999999398366
18,Hungarian,Radix B16,0.8563000010326505
18,Hungarian,Euler d1,18.13560001028236
18,Hungarian,Euler d2,28.51479998207651
18,Hungarian,Euler d3,31.590300000971183
