matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,wfa_16_time,wfa_16_cycle,wfa_16_perms,wfa_16_planes,wfa_16_split,wfa_2_time,wfa_2_cycle,wfa_2_perms,wfa_2_planes,wfa_2_split,wfa_4_time,wfa_4_cycle,wfa_4_perms,wfa_4_planes,wfa_4_split,wfa_8_time,wfa_8_cycle,wfa_8_perms,wfa_8_planes,wfa_8_split
296,10499,12004.0,1.8284924000035967,wfa,0.298781199962832,12431.0,2348,3,,0.0230971999699249,13519.0,785,9,,0.0649420000845566,12938.0,1118,5,,0.1471963999792933,12447.0,1667,3,
297,10435,11731.0,1.8389987999980804,wfa,0.2987328999442979,12451.0,2354,3,,0.0264234999194741,13691.0,821,9,,0.0684351000236347,12833.0,1143,5,,0.1432116000214591,12160.0,1680,3,
298,10571,11723.0,1.7731343999912497,wfa,0.2857348000397905,12144.0,2274,3,,0.0246877999743446,13858.0,811,9,,0.0675930000143125,12547.0,1126,5,,0.1487643000436946,12338.0,1679,3,
299,10228,11379.0,1.680155799986096,wfa,0.298409599927254,11734.0,2318,3,,0.0259676000569015,12559.0,801,9,,0.0663276999257505,11902.0,1124,5,,0.1476229999680072,11718.0,1693,3,
300,10495,11718.0,1.7056767000176478,wfa,0.2921213000081479,12104.0,2314,3,,0.0235851999605074,13408.0,785,9,,0.0656518000178039,12623.0,1128,5,,0.1445401000091806,12151.0,1661,3,
301,10428,11674.0,1.439416400011396,wfa,0.3057902000145986,12076.0,2417,3,,0.0254830999765545,13588.0,823,9,,0.0750029999762773,12626.0,1165,5,,0.1469664999749511,12349.0,1753,3,
302,10559,12068.0,1.7148830000078306,wfa,0.2976531999884173,12356.0,2338,3,,0.0268178000114858,13384.0,808,9,,0.0664446000009775,12658.0,1144,5,,0.1488863999256864,12317.0,1725,3,
303,10593,12080.0,1.7050890999962576,wfa,0.3581104999175295,12274.0,2368,3,,0.0235056000528857,13182.0,801,9,,0.0680563999339938,12642.0,1152,5,,0.1456351999659091,12505.0,1726,3,
304,10676,11834.0,1.8929740999883504,wfa,0.303458199952729,12138.0,2364,3,,0.0243137000361457,13288.0,811,9,,0.0678830000106245,12983.0,1168,5,,0.1500149000203237,12678.0,1726,3,
305,10435,11874.0,1.7454891999950632,wfa,0.2901977999135852,12163.0,2281,3,,0.0266891999635845,13294.0,791,9,,0.0666790000395849,12434.0,1121,5,,0.1452737000072375,12422.0,1702,3,
306,10748,12171.0,1.8538485000026408,wfa,0.2958303999621421,12491.0,2323,3,,0.0246269000926986,13582.0,804,9,,0.0668742000125348,12688.0,1140,5,,0.147482999949716,12427.0,1697,3,
307,11119,12590.0,2.0141412999946624,wfa,0.3069657000014558,12997.0,2438,3,,0.0270719999680295,14009.0,814,9,,0.0676438000518828,13224.0,1157,5,,0.153130599996075,12912.0,1741,3,
308,10872,12519.0,1.910635300009744,wfa,0.2974785000551492,12866.0,2407,3,,0.025079800048843,13748.0,818,9,,0.0681908000260591,13082.0,1176,5,,0.1560010999673977,12758.0,1756,3,
309,10621,12441.0,1.9167222999967637,wfa,0.3000554000027478,12711.0,2377,3,,0.025668799993582,13731.0,804,9,,0.0667321999790147,12969.0,1155,5,,0.1480494000716135,12647.0,1710,3,
310,11034,12738.0,1.738141199981328,wfa,0.304860399919562,13019.0,2404,3,,0.0264441999606788,14198.0,824,9,,0.0679428000003099,13358.0,1180,5,,0.15236189996358,13124.0,1745,3,
311,10947,12411.0,1.657342199992854,wfa,0.2995312999701127,12753.0,2374,3,,0.0262025000993162,14626.0,842,9,,0.0710757999913767,13492.0,1183,5,,0.1605708999559283,13298.0,1784,3,
