matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,maximum_16_time,maximum_16_cycle,maximum_16_perms,maximum_16_planes,maximum_16_split,maximum_2_time,maximum_2_cycle,maximum_2_perms,maximum_2_planes,maximum_2_split,maximum_4_time,maximum_4_cycle,maximum_4_perms,maximum_4_planes,maximum_4_split,maximum_8_time,maximum_8_cycle,maximum_8_perms,maximum_8_planes,maximum_8_split
263,490,8790.0,0.7915694999974221,maximum,0.8141954999882728,9462.0,857,3,,0.06999489990994334,12008.0,671,9,,0.14606640010606498,10774.0,680,5,,0.3556788000278175,10327.0,752,3,
264,464,8137.0,0.7037986000068486,maximum,0.809258499997668,8779.0,802,3,,0.07331140001770109,11081.0,644,9,,0.14077240007463843,9989.0,655,5,,0.3698238000506535,9601.0,761,3,
265,480,8152.0,0.7922298999037594,maximum,0.815173799986951,8792.0,824,3,,0.0691991999046877,11086.0,638,9,,0.14485789998434484,9932.0,648,5,,0.31768119998741895,9616.0,739,3,
266,476,8108.0,0.7308301000157371,maximum,0.7828714000061154,8716.0,801,3,,0.06746290007140487,10974.0,646,9,,0.13656590005848557,10136.0,645,5,,0.3376054000109434,9805.0,733,3,
267,484,8762.0,0.7905428999802098,maximum,0.7909875999903306,9402.0,826,3,,0.07264540006872267,11928.0,663,9,,0.14299409999512136,10782.0,670,5,,0.351179699995555,10410.0,758,3,
268,472,7759.0,0.8334302000002936,maximum,0.7509062000317499,8383.0,806,3,,0.07902179996017367,10731.0,639,9,,0.14169229997787625,9595.0,651,5,,0.3695702999830246,9207.0,734,3,
269,474,8268.0,0.733411299996078,maximum,0.7666473999852315,8876.0,799,3,,0.07123310002498329,11480.0,656,9,,0.1350916000083089,10232.0,637,5,,0.36080129991751164,9908.0,759,3,
270,487,8200.0,0.7686681000050157,maximum,0.7885723999934271,8840.0,814,3,,0.07234539999626577,10886.0,648,9,,0.1434755000518635,9932.0,646,5,,0.30859150004107505,9600.0,729,3,
271,487,8461.0,0.7552936000283808,maximum,0.8022786000510678,9165.0,865,3,,0.0731187000637874,11517.0,660,9,,0.13437909993808717,10481.0,676,5,,0.3484740999992937,10126.0,742,3,
272,473,8707.0,0.75093039998319,maximum,0.851016000029631,9667.0,892,3,,0.0746186999604106,12301.0,669,9,,0.13969910005107522,11031.0,678,5,,0.3556271999841556,10435.0,784,3,
273,497,8376.0,0.8151742999907583,maximum,0.8277329000411555,9528.0,914,3,,0.07140290003735572,12546.0,686,9,,0.14122849993873388,10796.0,684,5,,0.3677617999492213,10128.0,777,3,
274,485,8485.0,0.7668608999811113,maximum,0.7921902000671253,9189.0,876,3,,0.07275109994225204,11851.0,661,9,,0.13827640004456043,10581.0,680,5,,0.3433643999742344,10221.0,778,3,
275,471,8571.0,0.7481759999645874,maximum,0.8367441999725997,9275.0,879,3,,0.07179020007606596,11511.0,672,9,,0.1420428000856191,10511.0,666,5,,0.3863273999886587,10171.0,801,3,
